complaint_id,date,area,category,priority,status,days_to_resolve,complaint_text,resolved
CM-0001,2026-03-16,Gulshan,water,low,resolved,7,Intermittent water supply disruption observed in Gulshan.,0
CM-0002,2026-02-11,Gulshan,traffic,low,unresolved,13,Signal light malfunction causing long queues in Gulshan.,0
CM-0003,2026-03-17,Mohammadpur,waste,low,resolved,6,Garbage has not been collected for several days in Mohammadpur.,0
CM-0004,2026-03-08,Mirpur,water,medium,resolved,5,Residents in Mirpur report muddy tap water during morning hours.,0
CM-0005,2026-03-01,Mohammadpur,traffic,medium,unresolved,17,Unauthorized roadside parking worsening traffic flow in Mohammadpur.,0
CM-0006,2026-04-08,Mirpur,water,medium,resolved,3,Residents in Mirpur report muddy tap water during morning hours.,0
CM-0007,2026-02-22,Dhanmondi,water,low,unresolved,8,Residents in Dhanmondi report muddy tap water during morning hours.,0
CM-0008,2026-03-28,Demra,waste,low,resolved,1,Overflowing community bin in Demra is causing foul smell.,0
CM-0009,2026-02-19,Mohammadpur,water,medium,unresolved,11,Leakage from underground supply line in Mohammadpur wasting clean water.,0
CM-0010,2026-04-02,Mirpur,road,high,resolved,4,"Road repair work is incomplete in Mirpur, creating traffic bottlenecks.",0
CM-0011,2026-03-11,Gulshan,water,low,unresolved,14,Intermittent water supply disruption observed in Gulshan.,0
CM-0012,2026-03-01,Uttara,water,low,resolved,4,Intermittent water supply disruption observed in Uttara.,0
CM-0013,2026-03-05,Farmgate,waste,low,unresolved,5,Overflowing community bin in Farmgate is causing foul smell.,0
CM-0014,2026-03-17,Mohammadpur,road,medium,unresolved,19,Broken pavement and uneven road surface reported in Mohammadpur.,0
CM-0015,2026-03-11,Demra,waste,low,resolved,6,Illegal dumping spotted beside a residential lane in Demra.,0
CM-0016,2026-02-21,Mirpur,road,medium,unresolved,16,Drain cover is missing on a busy road in Mirpur.,0
CM-0017,2026-02-13,Mirpur,waste,high,unresolved,7,Garbage has not been collected for several days in Mirpur.,0
CM-0018,2026-03-19,Mirpur,waste,medium,unresolved,10,Garbage has not been collected for several days in Mirpur.,0
CM-0019,2026-03-12,Mohammadpur,traffic,medium,unresolved,16,Signal light malfunction causing long queues in Mohammadpur.,0
